State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Gujarat,Navsari,Bilimora,Onion,Nasik,FAQ,23/04/2025,800,1600,1200
Gujarat,Navsari,Bilimora,Tomato,Other,FAQ,23/04/2025,1000,1500,1200
Gujarat,Navsari,Navsari,"Bottle gourd","Bottle Gourd",FAQ,23/04/2025,700,800,750
Gujarat,Navsari,Navsari,Coriander(Leaves),Coriander,FAQ,23/04/2025,3500,4000,3750
Gujarat,Rajkot,Dhoraji,Soyabean,Yellow,Non-FAQ,23/04/2025,4055,4130,4130
Gujarat,Rajkot,Dhoraji,Wheat,Lokwan,Non-FAQ,23/04/2025,2350,2630,2445
Gujarat,Rajkot,"Gondal(Veg.market Gondal)",Brinjal,Brinjal,FAQ,23/04/2025,500,2000,1250
Gujarat,Rajkot,"Gondal(Veg.market Gondal)",Carrot,Carrot,FAQ,23/04/2025,500,2500,1500
Gujarat,Rajkot,"Gondal(Veg.market Gondal)",Tomato,Tomato,FAQ,23/04/2025,300,1200,750
Gujarat,Rajkot,Jasdan,Garlic,Garlic,FAQ,23/04/2025,3000,3000,3000
Gujarat,Rajkot,Jasdan,"Ground Nut Seed","Ground Nut Seed",FAQ,23/04/2025,100,114.5,110
Gujarat,Rajkot,Jasdan,Wheat,"2189 No. 2",FAQ,23/04/2025,2150,3025,2350
Gujarat,Rajkot,Rajkot,"Arhar (Tur/Red Gram)(Whole)","Arhar (Whole)",FAQ,23/04/2025,5920,6950,6475
Gujarat,Rajkot,Rajkot,"Black Gram (Urd Beans)(Whole)",Desi,FAQ,23/04/2025,6030,7455,6700
Gujarat,Rajkot,Rajkot,Groundnut,G20,Non-FAQ,23/04/2025,4000,5050,4950
Gujarat,Rajkot,"Rajkot(Veg.Sub Yard)","Bhindi(Ladies Finger)",Bhindi,FAQ,23/04/2025,2000,3500,2750
Gujarat,Rajkot,"Rajkot(Veg.Sub Yard)",Coriander(Leaves),Coriander,FAQ,23/04/2025,1500,2500,2000
Gujarat,Rajkot,"Rajkot(Veg.Sub Yard)",Onion,Onion,FAQ,23/04/2025,405,1225,900
